,2D-0,2D-1,3D-0,3D-1,3D-2,Country,class,binary_class,continent_name,ISO_A3,continent_colors
70,-0.3262617696006887,0.10813824570992694,-0.3262617696032889,0.10813706746676924,0.02685209324866753,IRAQ,America,red,Asia,IRQ,red
71,-0.3433937487401899,0.00791717856883492,-0.3433937487422805,0.007917012733142331,0.047547573664004195,IRELAND,America,red,Europe,IRL,purple
72,-0.3305667995266037,0.20121030079543206,-0.33056679953108836,0.20120780107942113,0.07376580177473388,ISRAEL,America,red,Asia,ISR,red
73,-0.3578769317706913,0.4045197295107031,-0.35787693176984575,0.40451877125944297,0.12771391164053264,ITALY,America,red,Europe,ITA,purple
74,-0.3793367306142703,-0.031531361748616295,-0.37933673061600387,-0.03153071481473195,0.004824500710191193,JAMAICA,America,red,North America,JAM,yellow
75,-0.3641747728180899,-0.19770581715722008,-0.36417477281914357,-0.19770635572608292,0.27270208172904614,JAPAN,America,red,Asia,JPN,red
76,-0.20327185017798682,-0.2018691459432005,-0.20327185018091967,-0.20187043858285783,-0.0642095001976109,JORDAN,America,red,Asia,JOR,red
77,-0.2899577236558792,0.004411472687791161,-0.28995772365564704,0.004411205566502699,-0.06757924421500823,KAZAKHSTAN,America,red,Asia,KAZ,red
78,-0.3508100507698855,-0.0040033723534923385,-0.3508100507691543,-0.004002968637158734,-0.1902037370426179,KENYA,America,red,Africa,KEN,orange
79,-0.3423076337482041,0.08587539090289716,-0.34230763374924855,0.08587572802030657,-0.014184178668349267,"KOREA, REPUBLIC OF",America,red,Asia,KOR,red
80,-0.307594944517833,-0.07377112009964099,-0.30759494452403363,-0.07377241446675861,0.009995143519162558,KUWAIT,America,red,Asia,KWT,red
81,-0.3430814740683367,-0.028769493498579973,-0.3430814740713111,-0.02877050089863669,-0.027766368121230837,KYRGYZSTAN,America,red,Asia,KGZ,red
82,-0.2837866937436165,-0.12411679715041722,-0.283786693738122,-0.12411325817655386,-0.10400979752266665,LAO PEOPLE'S DEMOCRATIC REPUBLIC,America,red,Asia,LAO,red
83,-0.29698396350380235,0.31821201966007795,-0.2969839635021159,0.3182138111119352,0.07573028726316237,LATVIA,America,red,Europe,LVA,purple
84,-0.34735953273381664,0.20143760093181678,-0.347359532738352,0.2014351344297848,0.025913234066322854,LEBANON,America,red,Asia,LBN,red
85,-0.3033710088306606,-0.10447162385511372,-0.30337100882925416,-0.10447202150903795,-0.19254922054946322,LESOTHO,America,red,Africa,LSO,orange
86,-0.3517166893388718,-0.01614247179585721,-0.35171668933627265,-0.016141940320400297,-0.23819990212926445,LIBERIA,America,red,Africa,LBR,orange
87,-0.23750653044515663,-0.12695657071376243,-0.23750653044828302,-0.12695705820383252,0.005883534059292506,LIBYA,America,red,Africa,LBY,orange
88,-0.26732493168083105,0.2024397774597109,-0.26732493167896854,0.20244204200654803,-0.015021091348044502,LITHUANIA,America,red,Europe,LTU,purple
89,-0.26979480042858567,0.10427109011016258,-0.26979480042661685,0.10427162568251938,0.02419891783073816,LUXEMBOURG,America,red,Europe,LUX,purple
90,-0.3396539059058185,-0.07787023752140086,-0.33965390590568484,-0.07787047136262426,-0.16369765524417246,MADAGASCAR,America,red,Africa,MDG,orange
