,2D-0,2D-1,3D-0,3D-1,3D-2,Country,class,binary_class,continent_name,ISO_A3,continent_colors
129,-1.9938805471722725,-0.9369840607470612,-1.9938805471722745,-0.9369840607470789,-0.2027448378543053,SERBIA,America,red,Europe,SRB,purple
130,-1.8794198230473382,-0.9753746215196204,-1.8794198230473378,-0.9753746215197056,-0.3396835679929079,SIERRA LEONE,America,red,Africa,SLE,orange
131,-1.3976030301769466,-0.7345762546572548,-1.3976030301769482,-0.7345762546572472,-0.43289122574761296,SINGAPORE,America,red,Asia,SGP,red
132,-1.4168500696318098,-0.5502876590994369,-1.4168500696318111,-0.5502876590993966,-0.4537195142763225,SLOVAKIA,America,red,Europe,SVK,purple
133,-1.73826985371222,-0.9467050074184592,-1.7382698537122216,-0.9467050074184844,0.09496802693391082,SLOVENIA,America,red,Europe,SVN,purple
134,-1.874328723390974,-0.8585154764938504,-1.8743287233909756,-0.8585154764937792,-0.11167589483807801,SOMALIA,America,red,Africa,SOM,orange
135,-1.7212661860449923,-0.9025964367491155,-1.7212661860449936,-0.902596436749204,0.0955405380951059,SOUTH AFRICA,America,red,Africa,ZAF,orange
136,-0.6410670462041916,3.047669658244038,-0.6410670462041917,3.0476696582440406,0.32826220119744687,SOUTH SUDAN,America,red,Africa,SSD,orange
137,-1.5977117936400629,-0.8490758096882085,-1.5977117936400633,-0.8490758096881923,-0.13730817971210074,SPAIN,America,red,Europe,ESP,purple
138,-0.9016503639297891,-0.8073510860574948,-0.9016503639297908,-0.8073510860575217,1.346074738249029,SRI LANKA,America,red,Asia,LKA,red
139,-1.7707874753322987,-0.6851749247292662,-1.7707874753323005,-0.6851749247292741,-0.243797918510804,SUDAN,America,red,Africa,SDN,orange
140,-1.5473515409405936,-0.674333210957317,-1.5473515409405956,-0.6743332109571933,-0.39026627632100785,SURINAME,America,red,South America,SUR,green
141,-1.6398425892295034,-0.5530638247151564,-1.639842589229504,-0.5530638247151454,-0.4500874312533453,SWEDEN,America,red,Europe,SWE,purple
142,-0.21237773264621976,-0.9436464934671227,-0.21237773264621937,-0.9436464934672638,2.7383167852719708,SWITZERLAND,America,red,Europe,CHE,purple
143,0.7034027397901166,-0.6532173956744247,0.7034027397901166,-0.6532173956744316,0.020215879958893047,SYRIAN ARAB REPUBLIC,America,red,Asia,SYR,red
144,-1.4842375045550908,-0.3382328277055534,-1.484237504555093,-0.338232827705374,0.1153669071872618,TAJIKISTAN,America,red,Asia,TJK,red
145,-1.1087367175502942,-0.5884016614035157,-1.108736717550295,-0.5884016614036169,-0.19901839334985186,"TANZANIA, UNITED REPUBLIC OF",America,red,Africa,TZA,orange
146,-1.1698208574120381,0.19941723296683117,-1.1698208574120403,0.19941723296679126,-0.02676979651516828,THAILAND,America,red,Asia,THA,red
147,-0.9537614484657821,1.7282742430149898,-0.9537614484657825,1.7282742430149405,-0.10007866064835322,TIMOR-LESTE,America,red,Asia,TLS,red
148,-1.7262159213514163,-0.7499899457818225,-1.7262159213514172,-0.7499899457819834,-0.2235369317659162,TOGO,America,red,Africa,TGO,orange
149,-0.5037930375111995,-0.6088373751762054,-0.5037930375111999,-0.6088373751761262,1.9885641581467894,TRINIDAD AND TOBAGO,America,red,North America,TTO,yellow
150,-0.10833406714461397,0.47411742026590215,-0.10833406714461638,0.47411742026571835,0.4177554690572498,TUNISIA,America,red,Africa,TUN,orange
151,-1.8704914656767397,-0.8729887376194762,-1.870491465676742,-0.8729887376193486,-0.07587631493320207,TURKEY,America,red,Europe,TUR,purple
152,1.8307382790478788,-0.7552456643589754,1.8307382790478814,-0.7552456643591132,-0.10642073280878399,UGANDA,America,red,Africa,UGA,orange
153,-0.9811047914392494,-0.9543150585946769,-0.9811047914392501,-0.9543150585946827,1.4063725972866499,UKRAINE,America,red,Europe,UKR,purple
154,-1.9020633924535093,-0.8278097298378985,-1.9020633924535106,-0.8278097298378395,-0.45003429691725766,UNITED ARAB EMIRATES,America,red,Asia,ARE,red
155,-1.8423697538012598,-0.9422656577085426,-1.8423697538012607,-0.9422656577087296,-0.2179341323325355,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND,America,red,Europe,GBR,purple
156,-0.5956090543289239,3.262754975782398,-0.5956090543289247,3.26275497578244,0.23597096892298508,UNITED STATES OF AMERICA,America,red,Central America,USA,lightgreen
157,-0.2041942570143487,-0.8582311070948586,-0.2041942570143488,-0.8582311070948638,-0.1698903898976406,URUGUAY,America,red,South America,URY,green
158,0.13088142506687975,-0.9007194476583389,0.13088142506688025,-0.9007194476583461,3.247872563631837,UZBEKISTAN,America,red,Asia,UZB,red
159,-1.775097040524398,-0.8081444500454467,-1.7750970405244009,-0.8081444500453544,-0.18677166165105702,YEMEN,America,red,Asia,YEM,red
160,-1.748105967223918,-0.8450306563678964,-1.7481059672239199,-0.8450306563678172,-0.04652758490274118,ZAMBIA,America,red,Africa,ZMB,orange
161,-1.4675437742862782,-0.5408713331980457,-1.46754377428628,-0.5408713331980115,-0.38838885523143596,ZIMBABWE,America,red,Africa,ZWE,orange
162,1.1246881915063156,-0.8230212825079473,1.1246881915063176,-0.8230212825080451,0.2362264734782917,AFGHANISTAN,Russia,blue,Asia,AFG,red
163,-0.506112345470658,-0.001935953647963562,-0.5061123454706564,-0.0019359536482201067,0.1449663048966351,ALBANIA,Russia,blue,Europe,ALB,purple
164,3.1981372629576854,0.10993793753821031,3.1981372629576894,0.10993793753822892,-0.25703530388699447,ALGERIA,Russia,blue,Africa,DZA,orange
165,-0.3835242411090003,3.200012027359435,-0.38352424110900163,3.200012027359584,-0.05577252267944876,ARGENTINA,Russia,blue,South America,ARG,green
166,4.44093138516081,-0.36185820759406306,4.440931385160816,-0.36185820759414444,-0.1040739980684607,ARMENIA,Russia,blue,Europe,ARM,purple
167,0.1690056830850413,-0.8267009026356567,0.16900568308504108,-0.8267009026355336,-0.6565627038289413,AUSTRALIA,Russia,blue,Australia,AUS,blue
168,2.3715785508682616,0.332094249364534,2.371578550868262,0.3320942493647655,-0.3276339664047056,AUSTRIA,Russia,blue,Europe,AUT,purple
169,0.8168919961064502,-0.7856417351062012,0.8168919961064512,-0.7856417351062617,-0.17800885793592292,BAHRAIN,Russia,blue,Asia,BHR,red
170,4.282757309900267,-0.43574332600786747,4.28275730990027,-0.4357433260078919,-0.18439615013123617,BELARUS,Russia,blue,Europe,BLR,purple
171,0.9174667633590747,-0.13432177148494606,0.9174667633590754,-0.13432177148486735,-0.5227362116791677,BELGIUM,Russia,blue,Europe,BEL,purple
172,2.0640076970484307,0.11670044893488883,2.0640076970484333,0.11670044893487526,-0.346995651819553,BENIN,Russia,blue,Africa,BEN,orange
173,-0.5301430898686101,2.5449441260822274,-0.5301430898686116,2.5449441260823638,-0.36358922038188257,"BOLIVIA, PLURINATIONAL STATE OF",Russia,blue,South America,BOL,green
174,2.7224509508082315,-0.055416497938393164,2.722450950808235,-0.055416497938490246,-0.3475312684488542,BOSNIA AND HERZEGOVINA,Russia,blue,Europe,BIH,purple
175,-0.8579592880384876,-1.068116837316425,-0.8579592880384868,-1.068116837316802,-0.9559793809638761,BOTSWANA,Russia,blue,Africa,BWA,orange
176,0.1767727618007881,1.6326784940897183,0.17677276180078796,1.6326784940898338,-0.10145551296917918,BRAZIL,Russia,blue,South America,BRA,green
